2025-06-18 16:07:35,486 | werkzeug | INFO | _internal.py:97 | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
2025-06-18 16:09:07,367 | sentence_transformers.SentenceTransformer | INFO | SentenceTransformer.py:211 | Use pytorch device_name: mps
2025-06-18 16:09:07,367 | sentence_transformers.SentenceTransformer | INFO | SentenceTransformer.py:219 | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2025-06-18 16:09:08,491 | sentence_transformers.SentenceTransformer | INFO | SentenceTransformer.py:211 | Use pytorch device_name: mps
2025-06-18 16:09:08,491 | sentence_transformers.SentenceTransformer | INFO | SentenceTransformer.py:219 | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2025-06-18 16:09:09,414 | pynucleus.rag.vector_store | INFO | vector_store.py:349 | Successfully loaded FAISS index from data/04_models/chunk_reports/pynucleus_mcp.faiss
2025-06-18 16:09:09,414 | pynucleus.rag.vector_store | INFO | vector_store.py:354 | FAISS index contains 7141 vectors
2025-06-18 16:09:09,414 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:32 | Real FAISS vector store initialized successfully
2025-06-18 16:09:10,005 | pynucleus.rag.vector_store | INFO | vector_store.py:404 | FAISS search for 'What is distillation?...' returned 5 results
2025-06-18 16:09:10,005 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:97 | RAG query processed: What is distillation?...
2025-06-18 16:09:10,005 | pynucleus.llm.llm_runner | INFO | llm_runner.py:27 | Loading model: microsoft/DialoGPT-large
2025-06-18 16:09:12,421 | pynucleus.llm.llm_runner | INFO | llm_runner.py:47 | Model loaded successfully on device: cpu
2025-06-18 16:09:12,421 | __main__ | INFO | app.py:114 | Generating enhanced response with microsoft/DialoGPT-large
2025-06-18 16:09:13,684 | pynucleus.llm.llm_runner | INFO | llm_runner.py:163 | Generated response in 1.26s
2025-06-18 16:09:13,685 | __main__ | INFO | app.py:143 | Question processed successfully
2025-06-18 16:09:13,751 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [18/Jun/2025 16:09:13] "POST /ask HTTP/1.1" 200 -
2025-06-18 16:10:13,967 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [18/Jun/2025 16:10:13] "GET / HTTP/1.1" 200 -
2025-06-18 16:10:21,751 | __main__ | INFO | app.py:101 | Processing question: what are distillation columns?...
2025-06-18 16:10:21,752 | pynucleus.rag.vector_store | INFO | vector_store.py:327 | Found FAISS directory: data/04_models/chunk_reports/pynucleus_mcp.faiss
2025-06-18 16:10:21,756 | sentence_transformers.SentenceTransformer | INFO | SentenceTransformer.py:211 | Use pytorch device_name: mps
2025-06-18 16:10:21,756 | sentence_transformers.SentenceTransformer | INFO | SentenceTransformer.py:219 | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2025-06-18 16:10:22,873 | sentence_transformers.SentenceTransformer | INFO | SentenceTransformer.py:211 | Use pytorch device_name: mps
2025-06-18 16:10:22,873 | sentence_transformers.SentenceTransformer | INFO | SentenceTransformer.py:219 | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2025-06-18 16:10:23,928 | pynucleus.rag.vector_store | INFO | vector_store.py:349 | Successfully loaded FAISS index from data/04_models/chunk_reports/pynucleus_mcp.faiss
2025-06-18 16:10:23,928 | pynucleus.rag.vector_store | INFO | vector_store.py:354 | FAISS index contains 7141 vectors
2025-06-18 16:10:23,928 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:32 | Real FAISS vector store initialized successfully
2025-06-18 16:10:24,257 | pynucleus.rag.vector_store | INFO | vector_store.py:404 | FAISS search for 'what are distillation columns?...' returned 5 results
2025-06-18 16:10:24,257 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:97 | RAG query processed: what are distillation columns?...
2025-06-18 16:10:24,257 | pynucleus.llm.llm_runner | INFO | llm_runner.py:27 | Loading model: microsoft/DialoGPT-large
2025-06-18 16:10:26,422 | pynucleus.llm.llm_runner | INFO | llm_runner.py:47 | Model loaded successfully on device: cpu
2025-06-18 16:10:26,422 | __main__ | INFO | app.py:114 | Generating enhanced response with microsoft/DialoGPT-large
2025-06-18 16:10:27,899 | pynucleus.llm.llm_runner | INFO | llm_runner.py:163 | Generated response in 1.47s
2025-06-18 16:10:27,899 | __main__ | INFO | app.py:143 | Question processed successfully
2025-06-18 16:10:27,961 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [18/Jun/2025 16:10:27] "POST /ask HTTP/1.1" 200 -
2025-06-18 16:11:22,992 | __main__ | INFO | app.py:101 | Processing question: What is distillation?...
2025-06-18 16:11:22,992 | pynucleus.rag.vector_store | INFO | vector_store.py:327 | Found FAISS directory: data/04_models/chunk_reports/pynucleus_mcp.faiss
2025-06-18 16:11:22,994 | sentence_transformers.SentenceTransformer | INFO | SentenceTransformer.py:211 | Use pytorch device_name: mps
2025-06-18 16:11:22,994 | sentence_transformers.SentenceTransformer | INFO | SentenceTransformer.py:219 | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2025-06-18 16:11:24,041 | sentence_transformers.SentenceTransformer | INFO | SentenceTransformer.py:211 | Use pytorch device_name: mps
2025-06-18 16:11:24,041 | sentence_transformers.SentenceTransformer | INFO | SentenceTransformer.py:219 | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2025-06-18 16:11:24,837 | pynucleus.rag.vector_store | INFO | vector_store.py:349 | Successfully loaded FAISS index from data/04_models/chunk_reports/pynucleus_mcp.faiss
2025-06-18 16:11:24,837 | pynucleus.rag.vector_store | INFO | vector_store.py:354 | FAISS index contains 7141 vectors
2025-06-18 16:11:24,837 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:32 | Real FAISS vector store initialized successfully
2025-06-18 16:11:24,855 | pynucleus.rag.vector_store | INFO | vector_store.py:404 | FAISS search for 'What is distillation?...' returned 5 results
2025-06-18 16:11:24,855 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:97 | RAG query processed: What is distillation?...
2025-06-18 16:11:24,855 | pynucleus.llm.llm_runner | INFO | llm_runner.py:27 | Loading model: microsoft/DialoGPT-large
2025-06-18 16:11:27,597 | pynucleus.llm.llm_runner | INFO | llm_runner.py:47 | Model loaded successfully on device: cpu
2025-06-18 16:11:27,598 | __main__ | INFO | app.py:114 | Generating enhanced response with microsoft/DialoGPT-large
2025-06-18 16:11:29,046 | pynucleus.llm.llm_runner | INFO | llm_runner.py:163 | Generated response in 1.44s
2025-06-18 16:11:29,046 | __main__ | INFO | app.py:143 | Question processed successfully
2025-06-18 16:11:29,128 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [18/Jun/2025 16:11:29] "POST /ask HTTP/1.1" 200 -
2025-06-18 16:11:59,143 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [18/Jun/2025 16:11:59] "GET / HTTP/1.1" 200 -
2025-06-18 16:12:01,520 | __main__ | INFO | app.py:101 | Processing question: what are distillation columns?...
2025-06-18 16:12:01,521 | pynucleus.rag.vector_store | INFO | vector_store.py:327 | Found FAISS directory: data/04_models/chunk_reports/pynucleus_mcp.faiss
2025-06-18 16:12:01,524 | sentence_transformers.SentenceTransformer | INFO | SentenceTransformer.py:211 | Use pytorch device_name: mps
2025-06-18 16:12:01,524 | sentence_transformers.SentenceTransformer | INFO | SentenceTransformer.py:219 | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2025-06-18 16:12:02,606 | sentence_transformers.SentenceTransformer | INFO | SentenceTransformer.py:211 | Use pytorch device_name: mps
2025-06-18 16:12:02,606 | sentence_transformers.SentenceTransformer | INFO | SentenceTransformer.py:219 | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2025-06-18 16:12:03,850 | pynucleus.rag.vector_store | INFO | vector_store.py:349 | Successfully loaded FAISS index from data/04_models/chunk_reports/pynucleus_mcp.faiss
2025-06-18 16:12:03,850 | pynucleus.rag.vector_store | INFO | vector_store.py:354 | FAISS index contains 7141 vectors
2025-06-18 16:12:03,850 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:32 | Real FAISS vector store initialized successfully
2025-06-18 16:12:03,885 | pynucleus.rag.vector_store | INFO | vector_store.py:404 | FAISS search for 'what are distillation columns?...' returned 5 results
2025-06-18 16:12:03,885 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:97 | RAG query processed: what are distillation columns?...
2025-06-18 16:12:03,885 | pynucleus.llm.llm_runner | INFO | llm_runner.py:27 | Loading model: microsoft/DialoGPT-large
2025-06-18 16:12:06,444 | pynucleus.llm.llm_runner | INFO | llm_runner.py:47 | Model loaded successfully on device: cpu
2025-06-18 16:12:06,445 | __main__ | INFO | app.py:114 | Generating enhanced response with microsoft/DialoGPT-large
2025-06-18 16:12:09,220 | pynucleus.llm.llm_runner | INFO | llm_runner.py:163 | Generated response in 2.76s
2025-06-18 16:12:09,221 | __main__ | INFO | app.py:143 | Question processed successfully
2025-06-18 16:12:09,301 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [18/Jun/2025 16:12:09] "POST /ask HTTP/1.1" 200 -
2025-06-18 16:16:36,249 | werkzeug | INFO | _internal.py:97 |  * Detected change in '/Users/mohammadalmusaiteer/PyNucleus-Model/scripts/web_interface_validator.py', reloading
2025-06-18 16:16:37,051 | werkzeug | INFO | _internal.py:97 |  * Restarting with stat
2025-06-18 16:18:16,940 | werkzeug | INFO | _internal.py:97 |  * Restarting with stat
2025-06-18 16:18:30,654 | werkzeug | INFO | _internal.py:97 |  * Restarting with stat
2025-06-18 16:19:49,733 | werkzeug | INFO | _internal.py:97 |  * Restarting with stat
2025-06-18 16:19:58,101 | werkzeug | INFO | _internal.py:97 |  * Restarting with stat
2025-06-18 16:20:16,772 | werkzeug | INFO | _internal.py:97 |  * Restarting with stat
2025-06-18 16:20:26,278 | werkzeug | INFO | _internal.py:97 |  * Restarting with stat
2025-06-18 16:21:31,178 | werkzeug | INFO | _internal.py:97 |  * Restarting with stat
