2025-07-03 21:13:14,975 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/rag/wiki_scraper.py - Execution OK
2025-07-03 21:13:14,983 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/rag/__init__.py - Imports OK
2025-07-03 21:13:14,983 | diagnostic_runner_file | WARNING | runner.py:238 | src/pynucleus/rag/__init__.py - Execution warning: No module named 'test_module'...
2025-07-03 21:13:14,983 | diagnostic_runner_file | WARNING | runner.py:238 | src/pynucleus/rag/__init__.py - Overall: ISSUES FOUND
2025-07-03 21:13:14,984 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/rag/rag_core.py - Syntax OK
2025-07-03 21:13:14,984 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/rag/rag_core.py - Imports OK
2025-07-03 21:13:14,984 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/rag/rag_core.py - Execution OK
2025-07-03 21:13:14,984 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/rag/rag_core.py - Overall: HEALTHY
2025-07-03 21:13:14,987 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/rag/engine.py - Syntax OK
2025-07-03 21:13:14,987 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/rag/engine.py - Imports OK
2025-07-03 21:13:14,988 | diagnostic_runner_file | WARNING | runner.py:238 | src/pynucleus/rag/engine.py - Execution warning: attempted relative import with no known parent package...
2025-07-03 21:13:14,988 | diagnostic_runner_file | WARNING | runner.py:238 | src/pynucleus/rag/engine.py - Overall: ISSUES FOUND
2025-07-03 21:13:14,990 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/rag/answer_processing.py - Syntax OK
2025-07-03 21:13:14,990 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/rag/answer_processing.py - Imports OK
2025-07-03 21:13:15,023 | diagnostic_runner_file | WARNING | runner.py:238 | src/pynucleus/rag/answer_processing.py - Execution warning: attempted relative import with no known parent package...
2025-07-03 21:13:15,023 | diagnostic_runner_file | WARNING | runner.py:238 | src/pynucleus/rag/answer_processing.py - Overall: ISSUES FOUND
2025-07-03 21:13:15,023 | diagnostic_runner_file | ERROR | runner.py:236 | Core Pipeline Scripts Health: FAILED
2025-07-03 21:13:15,023 | diagnostic_runner_file | WARNING | runner.py:238 | - 7/17 scripts healthy (41.2%)
2025-07-03 21:13:15,023 | diagnostic_runner_file | INFO | runner.py:240 | --- Validating Integration & LLM Scripts ---
2025-07-03 21:13:15,025 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/integration/config_manager.py - Syntax OK
2025-07-03 21:13:15,025 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/integration/config_manager.py - Imports OK
2025-07-03 21:13:15,025 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/integration/config_manager.py - Execution OK
2025-07-03 21:13:15,025 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/integration/config_manager.py - Overall: HEALTHY
2025-07-03 21:13:15,025 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/integration/__init__.py - Syntax OK
2025-07-03 21:13:15,025 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/integration/__init__.py - Imports OK
2025-07-03 21:13:15,026 | diagnostic_runner_file | WARNING | runner.py:238 | src/pynucleus/integration/__init__.py - Execution warning: No module named 'test_module'...
2025-07-03 21:13:15,026 | diagnostic_runner_file | WARNING | runner.py:238 | src/pynucleus/integration/__init__.py - Overall: ISSUES FOUND
2025-07-03 21:13:15,027 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/integration/llm_output_generator.py - Syntax OK
2025-07-03 21:13:15,027 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/integration/llm_output_generator.py - Imports OK
2025-07-03 21:13:15,027 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/integration/llm_output_generator.py - Execution OK
2025-07-03 21:13:15,027 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/integration/llm_output_generator.py - Overall: HEALTHY
2025-07-03 21:13:15,028 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/integration/dwsim_rag_integrator.py - Syntax OK
2025-07-03 21:13:15,028 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/integration/dwsim_rag_integrator.py - Imports OK
2025-07-03 21:13:15,028 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/integration/dwsim_rag_integrator.py - Execution OK
2025-07-03 21:13:15,028 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/integration/dwsim_rag_integrator.py - Overall: HEALTHY
2025-07-03 21:13:15,030 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/llm/answer_engine.py - Syntax OK
2025-07-03 21:13:15,030 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/llm/answer_engine.py - Imports OK
2025-07-03 21:13:15,528 | httpx | INFO | _client.py:1025 | HTTP Request: GET https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json "HTTP/1.1 200 OK"
2025-07-03 21:13:16,087 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/llm/answer_engine.py - Execution OK
2025-07-03 21:13:16,088 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/llm/answer_engine.py - Overall: HEALTHY
2025-07-03 21:13:16,088 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/llm/retriever_adapter.py - Syntax OK
2025-07-03 21:13:16,089 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/llm/retriever_adapter.py - Imports OK
2025-07-03 21:13:16,089 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/llm/retriever_adapter.py - Execution OK
2025-07-03 21:13:16,089 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/llm/retriever_adapter.py - Overall: HEALTHY
2025-07-03 21:13:16,090 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/llm/prompting.py - Syntax OK
2025-07-03 21:13:16,090 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/llm/prompting.py - Imports OK
2025-07-03 21:13:16,090 | diagnostic_runner_file | WARNING | runner.py:238 | src/pynucleus/llm/prompting.py - Execution warning: attempted relative import with no known parent package...
2025-07-03 21:13:16,090 | diagnostic_runner_file | WARNING | runner.py:238 | src/pynucleus/llm/prompting.py - Overall: ISSUES FOUND
2025-07-03 21:13:16,091 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/llm/query_llm.py - Syntax OK
2025-07-03 21:13:16,091 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/llm/query_llm.py - Imports OK
2025-07-03 21:13:16,091 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/llm/query_llm.py - Execution OK
2025-07-03 21:13:16,091 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/llm/query_llm.py - Overall: HEALTHY
2025-07-03 21:13:16,091 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/llm/__init__.py - Syntax OK
2025-07-03 21:13:16,091 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/llm/__init__.py - Imports OK
2025-07-03 21:13:16,091 | diagnostic_runner_file | WARNING | runner.py:238 | src/pynucleus/llm/__init__.py - Execution warning: No module named 'test_module'...
2025-07-03 21:13:16,091 | diagnostic_runner_file | WARNING | runner.py:238 | src/pynucleus/llm/__init__.py - Overall: ISSUES FOUND
2025-07-03 21:13:16,093 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/llm/simple_local_adapter.py - Syntax OK
2025-07-03 21:13:16,093 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/llm/simple_local_adapter.py - Imports OK
2025-07-03 21:13:16,093 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/llm/simple_local_adapter.py - Execution OK
2025-07-03 21:13:16,093 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/llm/simple_local_adapter.py - Overall: HEALTHY
2025-07-03 21:13:16,094 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/llm/device_manager.py - Syntax OK
2025-07-03 21:13:16,094 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/llm/device_manager.py - Imports OK
2025-07-03 21:13:16,095 | diagnostic_runner_file | WARNING | runner.py:238 | src/pynucleus/llm/device_manager.py - Execution warning: attempted relative import with no known parent package...
2025-07-03 21:13:16,095 | diagnostic_runner_file | WARNING | runner.py:238 | src/pynucleus/llm/device_manager.py - Overall: ISSUES FOUND
2025-07-03 21:13:16,096 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/llm/model_loader.py - Syntax OK
2025-07-03 21:13:16,096 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/llm/model_loader.py - Imports OK
2025-07-03 21:13:16,096 | diagnostic_runner_file | WARNING | runner.py:238 | src/pynucleus/llm/model_loader.py - Execution warning: attempted relative import with no known parent package...
2025-07-03 21:13:16,096 | diagnostic_runner_file | WARNING | runner.py:238 | src/pynucleus/llm/model_loader.py - Overall: ISSUES FOUND
2025-07-03 21:13:16,097 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/llm/qwen_loader.py - Syntax OK
2025-07-03 21:13:16,097 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/llm/qwen_loader.py - Imports OK
2025-07-03 21:13:16,097 | diagnostic_runner_file | WARNING | runner.py:238 | src/pynucleus/llm/qwen_loader.py - Execution warning: attempted relative import with no known parent package...
2025-07-03 21:13:16,097 | diagnostic_runner_file | WARNING | runner.py:238 | src/pynucleus/llm/qwen_loader.py - Overall: ISSUES FOUND
2025-07-03 21:13:16,098 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/llm/llm_runner.py - Syntax OK
2025-07-03 21:13:16,098 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/llm/llm_runner.py - Imports OK
2025-07-03 21:13:16,098 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/llm/llm_runner.py - Execution OK
2025-07-03 21:13:16,098 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/llm/llm_runner.py - Overall: HEALTHY
2025-07-03 21:13:16,099 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/utils/logging_config.py - Syntax OK
2025-07-03 21:13:16,099 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/utils/logging_config.py - Imports OK
2025-07-03 21:13:16,099 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/utils/logging_config.py - Execution OK
2025-07-03 21:13:16,099 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/utils/logging_config.py - Overall: HEALTHY
2025-07-03 21:13:16,100 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/utils/env.py - Syntax OK
2025-07-03 21:13:16,100 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/utils/env.py - Imports OK
2025-07-03 21:13:16,100 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/utils/env.py - Execution OK
2025-07-03 21:13:16,100 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/utils/env.py - Overall: HEALTHY
2025-07-03 21:13:16,100 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/utils/__init__.py - Syntax OK
2025-07-03 21:13:16,100 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/utils/__init__.py - Imports OK
2025-07-03 21:13:16,101 | diagnostic_runner_file | WARNING | runner.py:238 | src/pynucleus/utils/__init__.py - Execution warning: No module named 'test_module'...
2025-07-03 21:13:16,101 | diagnostic_runner_file | WARNING | runner.py:238 | src/pynucleus/utils/__init__.py - Overall: ISSUES FOUND
2025-07-03 21:13:16,101 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/utils/logger.py - Syntax OK
2025-07-03 21:13:16,101 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/utils/logger.py - Imports OK
2025-07-03 21:13:16,101 | diagnostic_runner_file | WARNING | runner.py:238 | src/pynucleus/utils/logger.py - Execution warning: attempted relative import with no known parent package...
2025-07-03 21:13:16,101 | diagnostic_runner_file | WARNING | runner.py:238 | src/pynucleus/utils/logger.py - Overall: ISSUES FOUND
2025-07-03 21:13:16,102 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/utils/telemetry_patch.py - Syntax OK
2025-07-03 21:13:16,102 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/utils/telemetry_patch.py - Imports OK
2025-07-03 21:13:16,102 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/utils/telemetry_patch.py - Execution OK
2025-07-03 21:13:16,102 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/utils/telemetry_patch.py - Overall: HEALTHY
2025-07-03 21:13:16,103 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/utils/error_handler.py - Syntax OK
2025-07-03 21:13:16,103 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/utils/error_handler.py - Imports OK
2025-07-03 21:13:16,104 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/utils/error_handler.py - Execution OK
2025-07-03 21:13:16,104 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/utils/error_handler.py - Overall: HEALTHY
2025-07-03 21:13:16,105 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/utils/pretty_formatter.py - Syntax OK
2025-07-03 21:13:16,105 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/utils/pretty_formatter.py - Imports OK
2025-07-03 21:13:16,105 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/utils/pretty_formatter.py - Execution OK
2025-07-03 21:13:16,105 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/utils/pretty_formatter.py - Overall: HEALTHY
2025-07-03 21:13:16,105 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/utils/token_utils.py - Syntax OK
2025-07-03 21:13:16,105 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/utils/token_utils.py - Imports OK
2025-07-03 21:13:16,106 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/utils/token_utils.py - Execution OK
2025-07-03 21:13:16,106 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/utils/token_utils.py - Overall: HEALTHY
2025-07-03 21:13:16,106 | diagnostic_runner_file | ERROR | runner.py:236 | Integration & LLM Scripts Health: FAILED
2025-07-03 21:13:16,106 | diagnostic_runner_file | WARNING | runner.py:238 | - 14/22 scripts healthy (63.6%)
2025-07-03 21:13:16,106 | diagnostic_runner_file | INFO | runner.py:240 | --- Validating Entry Point Scripts ---
2025-07-03 21:13:16,111 | diagnostic_runner_file | INFO | runner.py:240 | run_pipeline.py - Syntax OK
2025-07-03 21:13:16,111 | diagnostic_runner_file | INFO | runner.py:240 | run_pipeline.py - Imports OK
2025-07-03 21:13:16,111 | diagnostic_runner_file | INFO | runner.py:240 | run_pipeline.py - Entry point (skipped execution)
2025-07-03 21:13:16,111 | diagnostic_runner_file | INFO | runner.py:240 | run_pipeline.py - Overall: HEALTHY
2025-07-03 21:13:16,123 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/cli.py - Syntax OK
2025-07-03 21:13:16,123 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/cli.py - Imports OK
2025-07-03 21:13:16,123 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/cli.py - Entry point (skipped execution)
2025-07-03 21:13:16,123 | diagnostic_runner_file | INFO | runner.py:240 | src/pynucleus/cli.py - Overall: HEALTHY
2025-07-03 21:13:16,123 | diagnostic_runner_file | INFO | runner.py:240 | Entry Point Scripts Health: PASSED
2025-07-03 21:13:16,123 | diagnostic_runner_file | WARNING | runner.py:238 | - 2/2 scripts healthy (100.0%)
2025-07-03 21:13:16,123 | diagnostic_runner_file | INFO | runner.py:240 | --- Validating Test Scripts ---
2025-07-03 21:13:16,124 | diagnostic_runner_file | INFO | runner.py:240 | scripts/test_output_formatting.py - Syntax OK
2025-07-03 21:13:16,124 | diagnostic_runner_file | INFO | runner.py:240 | scripts/test_output_formatting.py - Imports OK
2025-07-03 21:13:16,125 | diagnostic_runner_file | INFO | runner.py:240 | scripts/test_output_formatting.py - Execution OK
2025-07-03 21:13:16,125 | diagnostic_runner_file | INFO | runner.py:240 | scripts/test_output_formatting.py - Overall: HEALTHY
2025-07-03 21:13:16,127 | diagnostic_runner_file | INFO | runner.py:240 | scripts/test_production_monitoring.py - Syntax OK
2025-07-03 21:13:16,127 | diagnostic_runner_file | INFO | runner.py:240 | scripts/test_production_monitoring.py - Imports OK
2025-07-03 21:13:16,128 | diagnostic_runner_file | INFO | runner.py:240 | scripts/test_production_monitoring.py - Execution OK
2025-07-03 21:13:16,128 | diagnostic_runner_file | INFO | runner.py:240 | scripts/test_production_monitoring.py - Overall: HEALTHY
2025-07-03 21:13:16,128 | diagnostic_runner_file | INFO | runner.py:240 | scripts/test_output_formatting.py - Syntax OK
2025-07-03 21:13:16,128 | diagnostic_runner_file | INFO | runner.py:240 | scripts/test_output_formatting.py - Imports OK
2025-07-03 21:13:16,128 | diagnostic_runner_file | INFO | runner.py:240 | scripts/test_output_formatting.py - Execution OK
2025-07-03 21:13:16,128 | diagnostic_runner_file | INFO | runner.py:240 | scripts/test_output_formatting.py - Overall: HEALTHY
2025-07-03 21:13:16,130 | diagnostic_runner_file | INFO | runner.py:240 | scripts/test_production_monitoring.py - Syntax OK
2025-07-03 21:13:16,130 | diagnostic_runner_file | INFO | runner.py:240 | scripts/test_production_monitoring.py - Imports OK
2025-07-03 21:13:16,130 | diagnostic_runner_file | INFO | runner.py:240 | scripts/test_production_monitoring.py - Execution OK
2025-07-03 21:13:16,130 | diagnostic_runner_file | INFO | runner.py:240 | scripts/test_production_monitoring.py - Overall: HEALTHY
2025-07-03 21:13:16,131 | diagnostic_runner_file | INFO | runner.py:240 | scripts/simple_stress_test.py - Syntax OK
2025-07-03 21:13:16,131 | diagnostic_runner_file | INFO | runner.py:240 | scripts/simple_stress_test.py - Imports OK
2025-07-03 21:13:16,154 | diagnostic_runner_file | INFO | runner.py:240 | scripts/simple_stress_test.py - Execution OK
2025-07-03 21:13:16,154 | diagnostic_runner_file | INFO | runner.py:240 | scripts/simple_stress_test.py - Overall: HEALTHY
2025-07-03 21:13:16,156 | diagnostic_runner_file | INFO | runner.py:240 | scripts/stress_test_suite.py - Syntax OK
2025-07-03 21:13:16,156 | diagnostic_runner_file | INFO | runner.py:240 | scripts/stress_test_suite.py - Imports OK
2025-07-03 21:13:16,158 | diagnostic_runner_file | INFO | runner.py:240 | scripts/stress_test_suite.py - Execution OK
2025-07-03 21:13:16,158 | diagnostic_runner_file | INFO | runner.py:240 | scripts/stress_test_suite.py - Overall: HEALTHY
2025-07-03 21:13:16,160 | diagnostic_runner_file | INFO | runner.py:240 | scripts/stress_test.py - Syntax OK
2025-07-03 21:13:16,160 | diagnostic_runner_file | INFO | runner.py:240 | scripts/stress_test.py - Imports OK
2025-07-03 21:13:16,161 | diagnostic_runner_file | INFO | runner.py:240 | scripts/stress_test.py - Execution OK
2025-07-03 21:13:16,161 | diagnostic_runner_file | INFO | runner.py:240 | scripts/stress_test.py - Overall: HEALTHY
2025-07-03 21:13:16,162 | diagnostic_runner_file | INFO | runner.py:240 | scripts/integration_test.py - Syntax OK
2025-07-03 21:13:16,162 | diagnostic_runner_file | INFO | runner.py:240 | scripts/integration_test.py - Imports OK
2025-07-03 21:13:16,163 | diagnostic_runner_file | INFO | runner.py:240 | scripts/integration_test.py - Execution OK
2025-07-03 21:13:16,163 | diagnostic_runner_file | INFO | runner.py:240 | scripts/integration_test.py - Overall: HEALTHY
2025-07-03 21:13:16,163 | diagnostic_runner_file | INFO | runner.py:240 | Test Scripts Health: PASSED
2025-07-03 21:13:16,163 | diagnostic_runner_file | WARNING | runner.py:238 | - 8/8 scripts healthy (100.0%)
2025-07-03 21:13:16,163 | diagnostic_runner_file | INFO | runner.py:240 | --- Validating Automation Scripts ---
2025-07-03 21:13:16,163 | diagnostic_runner_file | WARNING | runner.py:238 | No scripts found for Automation Scripts
2025-07-03 21:13:16,163 | diagnostic_runner_file | INFO | runner.py:240 | --- Validating Prompt System Scripts ---
2025-07-03 21:13:16,163 | diagnostic_runner_file | WARNING | runner.py:238 | No scripts found for Prompt System Scripts
2025-07-03 21:13:16,163 | diagnostic_runner_file | INFO | runner.py:240 | --- Validating Validation Scripts ---
2025-07-03 21:13:16,164 | diagnostic_runner_file | INFO | runner.py:240 | scripts/validate_infrastructure.py - Syntax OK
2025-07-03 21:13:16,164 | diagnostic_runner_file | INFO | runner.py:240 | scripts/validate_infrastructure.py - Imports OK
2025-07-03 21:13:16,164 | diagnostic_runner_file | INFO | runner.py:240 | scripts/validate_infrastructure.py - Execution OK
2025-07-03 21:13:16,164 | diagnostic_runner_file | INFO | runner.py:240 | scripts/validate_infrastructure.py - Overall: HEALTHY
2025-07-03 21:13:16,166 | diagnostic_runner_file | INFO | runner.py:240 | scripts/validate_rag_factual_accuracy.py - Syntax OK
2025-07-03 21:13:16,166 | diagnostic_runner_file | INFO | runner.py:240 | scripts/validate_rag_factual_accuracy.py - Imports OK
2025-07-03 21:13:16,714 | pynucleus.data.mock_data_manager | INFO | mock_data_manager.py:46 | Loaded mock data from configs/mock_data_modular_plants.json
2025-07-03 21:13:16,715 | pynucleus.data.mock_data_manager | INFO | mock_data_manager.py:47 | Available: 22 plant templates, 0 technical documents
2025-07-03 21:13:16,717 | pynucleus.rag.vector_store | INFO | vector_store.py:640 | Loaded existing ChromaDB collection: pynucleus_documents
2025-07-03 21:13:16,717 | pynucleus.rag.vector_store | INFO | vector_store.py:647 | ChromaDB collection contains 54 documents
2025-07-03 21:13:16,717 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:41 | Vector store (chroma) initialized successfully
2025-07-03 21:13:16,754 | datasets | INFO | config.py:54 | PyTorch version 2.7.1 available.
2025-07-03 21:13:16,947 | pynucleus | INFO | engine.py:86 | ChromaDB collection initialized successfully
2025-07-03 21:13:16,947 | pynucleus.pipeline.pipeline_rag | INFO | pipeline_rag.py:77 | ChromaDB collection contains 54 documents
